position,title
Q108258247,Prosecutor General
Q44823923,mayor of Kohtla-Järve
Q24545702,mayor of Narva
Q6627739,mayor of Tartu
Q42900692,ambassador to Austria
Q42900693,ambassador to Belgium
Q40338084,ambassador to Canada
Q65261815,ambassador to Finland
Q57285503,ambassador to France
Q65261849,ambassador to the Holy See
Q67080911,ambassador to Hungary
Q65261741,ambassador to Iceland
Q65261734,ambassador to Indonesia
Q111509158,ambassador to Ireland
Q110945422,ambassador to Israel
Q111357545,ambassador to Italy
Q111236458,ambassador to Japan
Q110945471,ambassador to Kazakhstan
Q41539162,ambassador to Latvia
Q65261755,ambassador to Lithuania
Q65261772,ambassador to Mexico
Q65261846,ambassador to New Zealand
Q108917612,ambassador to Norway
Q65261783,ambassador to Poland
Q111509154,ambassador to Portugal
Q40770362,ambassador to Russia
Q41539745,ambassador to Sweden
Q65261821,ambassador to Tajikistan
Q65261824,ambassador to Thailand
Q65261829,ambassador to Tunisia
Q65261832,ambassador to Turkmenistan
Q65261835,ambassador to Ukraine
Q65261818,ambassador to the United Kingdom
Q30591832,ambassador to the United States
Q65261843,ambassador to Uzbekistan
Q11685589,ambassador of Estonia
